brand,features_bullets,page,price,rating,seller,title,total_rating,url
,,sr_pg_1,,,,,,https://www.amazon.com.br/Galax-PLACA-GEFORCE-1-CLICK-GDDRD6/dp/B09RQW9656/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-1&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
,,sr_pg_1,,,,,,https://www.amazon.com.br/Galax-Rtx4060-128Bits-1-Click-46Nsl8Md8Loc/dp/B0CB3RBW68/ref=sr_1_21?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-21&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
,,sr_pg_1,,,,,,https://www.amazon.com.br/Gigabyte-Placa-v%C3%ADdeo-GeForce-4060/dp/B0C5JWRT6Q/ref=sr_1_23?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-23&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
,,sr_pg_1,,,,,,https://www.amazon.com.br/Placa-Video-NVIDIA-Geforce-GT740/dp/B09G3417Z3/ref=sr_1_17?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
,,sr_pg_1,,,,,,https://www.amazon.com.br/Placa-128Bits-Ventus-MSI-912-V516-012/dp/B0C7W8GZMJ/ref=sr_1_14?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-14&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
,,sr_pg_1,,,,,,https://www.amazon.com.br/PROCESSADOR-GRAFICO-MSI-GEFORCE912-V397-484-VENTUS/dp/B08WHJFYM8/ref=sr_1_13?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-13&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
,,sr_pg_1,,,,,,https://www.amazon.com.br/Placa-V%C3%ADdeo-Nvidia-MSI-VENTUS/dp/B0C24RCSVT/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Marca: GIGABYTE, Bom desempenho  ; Sistema de resfriamento WINDFORCE  ; L14366-041  ; Núcleos Tensores de 3ª Geração  ; GIGABYTE RTX 3050 WINDFORCE OC 8  ; Integrado com interface de memória GDDR6 de 128 bits de 8 GB  ; Fonte de alimentação recomendada: 400 W  ,sr_pg_1,1.499,"5,0 de 5 estrelas",Loja STI Computadores Joinville,"        Gigabyte Placa de vídeo NVIDIA GeForce RTX 3050 WINDFORCE OC - 8GB GDDR6, 128-bit, PCI-E 4.0, 1792 MHz Core Clock, 1x DP 1.4, 1x HDMI 2.1, NVIDIA Ampere - GV-N3050WF2OC-8GD       ",1 classificação,https://www.amazon.com.br/Gigabyte-Placa-NVIDIA-GeForce-WINDFORCE/dp/B0BY6XSW4F/ref=sr_1_22?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Marca: Zotac," Arquitetura NVIDIA Ampere, núcleos Ray Tracing de 2ª geração, núcleos tensores de 3ª geração  ; 12GB 192-bit GDDR6, 15 Gbps, PCIE 4.0; Boost Clock 1807 MHz  ; Refrigeração IceStorm 2.0, controle de ventilador ativo, parada de ventilador de congelamento, placa traseira de metal  ; Pronto para 8K, pronto para 4 monitores, HDCP 2.3, VR Ready. Evite usar software não oficial  ; 3 DisplayPort 1.4a, 1 HDMI 2.1, DirectX 12 Ultimate, Vulkan RT API, OpenGL 4.6  ",sr_pg_1,2.040,"4,7 de 5 estrelas",SR INFOSHOP,"        ZOTAC Placa de vídeo GeForce RTX 3060 Twin Edge OC 12 GB GDDR6 192 bits 15 Gbps PCIE 4.0, resfriamento IceStorm 2.0, controle ativo de ventilador, parada de ventilador congelado ZT-A30600H-10M       ",3.303 avaliações de clientes,https://www.amazon.com.br/Icestorm-Refrigera%C3%A7%C3%A3o-Controlo-ventilador-ZT-A30600H-10M/dp/B08W8DGK3X/ref=sr_1_15?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-15&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Marca: PNY," Arquitetura NVIDIA Ampere, com relógio de núcleo de 1320 MHz e velocidades de relógio boost de 1777 MHz para ajudar a atender às necessidades de jogos exigentes.  ; Memória de 12 GB GDDR6 (192 bits), além de 3584 núcleos de processamento CUDA e até 360 GB/s de largura de banda de memória fornecem a memória necessária para criar um realismo visual impressionante.  ; Interface PCI Express 4.0 - Oferece compatibilidade com uma variedade de sistemas. Também inclui saídas DisplayPort 1.4a e HDMI 2.1 para conectividade expandida.  ; Experiência GeForce NVIDIA – Capture e compartilhe vídeos, capturas de tela e transmissões ao vivo com amigos. Mantenha seus drivers atualizados e otimize suas configurações de jogo. É o companheiro essencial para sua placa de vídeo GeForce.  ",sr_pg_1,1.879,"4,6 de 5 estrelas",HEQUIPEL COMPUTERS,"        PNY Placa de vídeo GeForce RTX 3060 12 GB Verto Dual Fan, Modelo: VCG306012DFBPB       ",99 avaliações de clientes,https://www.amazon.com.br/PNY-Placa-v%C3%ADdeo-GeForce-Modelo/dp/B0BC1GWMQX/ref=sr_1_20?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=QUTTF0P2CI5B&keywords=placa+de+video&qid=1696076626&s=computers&sprefix=placa+de+video%2Caps%2C84&sr=1-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
